id;descripcion;fecha_factura;fecha_vencimiento;tipo_pago;total_factura;cliente_id
1;BEAC;2022-12-09T08:54:25;2022-12-09T07:24:43;CREDIT;17222;1
2;Loan compressing;2022-12-09T05:55:08;2022-12-08T18:13:44;COUNTED;39532;2
3;overriding;2022-12-09T00:57:24;2022-12-08T21:59:49;CREDIT;83164;3
4;Estratega;2022-12-09T13:44:25;2022-12-09T15:03:17;COUNTED;73229;4
5;asimétrica Pelota;2022-12-08T22:19:47;2022-12-09T12:40:43;CREDIT;80094;5
6;HDD transmit;2022-12-09T13:51:22;2022-12-09T04:40:58;CREDIT;61922;6
7;Loan;2022-12-08T17:22:53;2022-12-09T09:25:02;CREDIT;36214;7
8;International Zapatos USB;2022-12-08T22:45:25;2022-12-08T23:22:37;COUNTED;49744;8
9;Estratega;2022-12-09T09:42:33;2022-12-09T07:29:02;COUNTED;18793;9
10;Granito;2022-12-08T19:53:05;2022-12-08T19:01:03;COUNTED;66760;10
