id;descripcion;fecha_factura;fecha_vencimiento;tipo_pago;total_factura;cliente_id
1;BEAC;2022-12-08T12:19:09;2022-12-08T10:49:27;CREDIT;17222;1
2;Loan compressing;2022-12-08T09:19:52;2022-12-07T21:38:28;COUNTED;39532;2
3;overriding;2022-12-08T04:22:08;2022-12-08T01:24:33;CREDIT;83164;3
4;Estratega;2022-12-08T17:09:09;2022-12-08T18:28:01;COUNTED;73229;4
5;asimétrica Pelota;2022-12-08T01:44:31;2022-12-08T16:05:27;CREDIT;80094;5
6;HDD transmit;2022-12-08T17:16:06;2022-12-08T08:05:42;CREDIT;61922;6
7;Loan;2022-12-07T20:47:37;2022-12-08T12:49:46;CREDIT;36214;7
8;International Zapatos USB;2022-12-08T02:10:09;2022-12-08T02:47:21;COUNTED;49744;8
9;Estratega;2022-12-08T13:07:17;2022-12-08T10:53:46;COUNTED;18793;9
10;Granito;2022-12-07T23:17:49;2022-12-07T22:25:47;COUNTED;66760;10
